filename,ID,camera ID,frame number,graph,fixed_graph
0230_c2_2229.png,230,2,2229,"```json
{
  ""nodes"": [
    {
      ""id"": ""person"",
      ""attributes"": [""male"", ""young"", ""bent forward""],
      ""additional_nodes"": [
        {
          ""id"": ""hair"",
          ""attributes"": [""dark"", ""short""]
        },
        {
          ""id"": ""shirt""
          ""attributes"": [""dark"", ""long sleeves""]
        },
        {
          ""id"": ""backpack""
          ""attributes"": [""dark""]
        },
        {
          ""id"": ""pants""
          ""attributes"": [""dark"", ""loose fit""]
        },
        {
          ""id"": ""shoes""
          ""attributes"": [""dark"", ""sneaker style""]
        }
      ]
    },
    {
      ""id"": ""shirt"",
      ""attributes"": [""dark"", ""long sleeves""]
    },
    {
      ""id"": ""backpack""
      ""attributes"": [""dark""]
    },
    {
      ""id"": ""pants""
      ""attributes"": [""dark"", ""loose fit""]
    },
    {
      ""id"": ""shoes""
      ""attributes"": [""dark"", ""sneaker style""]
    }
  ],
  ""edges"": [
    { ""source"": ""person"", ""target"": ""shirt"", ""relation"": ""wearing"" },
    { ""source"": ""person"", ""target"": ""backpack"", ""relation"": ""carrying"" },
    { ""source"": ""person"", ""target"": ""pants"", ""relation"": ""wearing"" },
    { ""source"": ""person"", ""target"": ""shoes"", ""relation"": ""wearing"" },
    { ""source"": ""person"", ""target"": ""hair"", ""relation"": ""has"" }
  ]
}
```",
0744_c2_7245.png,744,2,7245,"```json
{
  ""nodes"": [
    {
      ""id"": ""person"",
      ""attributes"": [""tall"", ""slight build"", ""back facing"", ""walking""],
      ""hair"": [""dark"", ""long length""]
    },
    {
      ""id"": ""coat"",
      ""attributes"": [""dark"", ""long length"", ""visible from shoulders to mid-thigh""],
      ""wearing"": [""person""]
    },
    {
      ""id"": ""clothing"",
      ""attributes"": [""dark"", ""long length"", ""visible from mid-thigh to feet""],
      ""wearing"": [""person""]
    }
  ],
  ""edges"": [
    {""source"": ""coat"", ""target"": ""person"", ""relation"": ""wearing""},
    {""source"": ""clothing"", ""target"": ""person"", ""relation"": ""wearing""}
  ]
}
```",
0675_c2_6572.png,675,2,6572,"{
  ""nodes"": [
    {
      ""id"": ""person"",
      ""attributes"": [
        ""wearing glasses"",
        ""backpack"",
        ""casual clothing"",
        ""loose fit"",
        ""dark clothing"",
        ""indoor setting""
      ]
    },
    {
      ""id"": ""object_or_bodypart"",
      ""attributes"": [
        ""hair"",
        ""short"",
        ""dark""
      ]
    },
    {
      ""id"": ""glasses"",
      ""attributes"": [
        ""prescription glasses"",
        ""dark frame""
      ]
    },
    {
      ""id"": ""backpack"",
      ""attributes"": [
        ""strapped shoulder"",
        ""dark color""
      ]
    },
    {
      ""id"": ""clothing"",
      ""attributes"": [
        ""jacket"",
        ""long sleeves"",
        ""cotton material""
      ]
    },
    {
      ""id"": ""clothing"",
      ""attributes"": [
        ""belted waist"",
        ""dark jeans"",
        ""light pockets""
      ]
    }
  ],
  ""edges"": [
    {
      ""source"": ""person"",
      ""target"": ""hair"",
      ""relation"": ""has""
    },
    {
      ""source"": ""person"",
      ""target"": ""glasses"",
      ""relation"": ""wearing""
    },
    {
      ""source"": ""person"",
      ""target"": ""backpack"",
      ""relation"": ""carrying""
    },
    {
      ""source"": ""person"",
      ""target"": ""clothing"",
      ""relation"": ""wearing""
    },
    {
      ""source"": ""person"",
      ""target"": ""clothing"",
      ""relation"": ""wearing""
    }
  ]
}",
0862_c1_8358.png,862,1,8358,"```json
{
  ""nodes"": [
    {
      ""id"": ""person"",
    },
    {
      ""id"": ""hair"",
    },
    {
      ""id"": ""shirt"",
    },
    {
      ""id"": ""pants""
    },
    {
      ""id"": ""handbag"",
    }
  ],
  ""edges"": [
    {
      ""source"": ""person"",
      ""target"": ""hair"",
      ""relation"": ""has""
    },
    {
      ""source"": ""person"",
      ""target"": ""shirt"",
      ""relation"": ""wearing""
    },
    {
      ""source"": ""person""
      ""target"": ""pants"",
      ""relation"": ""wearing""
    },
    {
      ""source"": ""person"",
      ""target"": ""handbag"",
      ""relation"": ""carrying""
    }
  ]
}
```",
0223_c2_2159.png,223,2,2159,"```json
{
  ""nodes"": [
    {
      ""id"": ""person"",
      {
        ""attributes"": [
          ""female"",
          ""adult"",
        ]
      }
    },
    {
      ""id"": ""hair"",
      {
        ""attributes"": [
          ""brown"",
          ""short""
        ]
      }
    },
    {
      ""id"": ""shirt"",
      {
        ""attributes"": [
          ""red"",
          ""t-shirt"",
          ""short-sleeve""
        ]
      }
    },
    {
      ""id"": ""pants"",
      {
        ""attributes"": [
          ""black"",
          ""regular fit""
        ]
      }
    },
    {
      ""id"": ""backpack"",
      {
        ""attributes"": [
          ""black""
        ]
      }
    },
    {
      ""id"": ""shoes"",
      {
        ""attributes"": [
          ""dark""
        ]
      }
    },
    {
      ""id"": ""accessory_left_hand""
      {
        ""attributes"": [
          ""white""
        ]
      }
    }
  ],
  ""edges"": [
    {
      ""source"": ""person"",
      ""target"": ""hair"",
      ""relation"": ""has""
    },
    {
      ""source"": ""person"",
      ""target"": ""shirt"",
      ""relation"": ""wearing""
    },
    {
      ""source"": ""person"",
      ""target"": ""pants"",
      ""relation"": ""wearing""
    },
    {
      ""source"": ""person"",
      ""target"": ""backpack"",
      ""relation"": ""carrying""
    },
    {
      ""source"": ""person"",
      ""target"": ""accessory_left_hand"",
      ""relation"": ""holding_with""
    },
    {
      ""source"": ""shirt"",
      ""target"": ""person"",
      ""relation"": ""on""
    },
    {
      ""source"": ""backpack"",
      ""target"": ""person"",
      ""relation"": ""on_back""
    },
    {
      ""source"": ""accessory_left_hand"",
      ""target"": ""person"",
      ""relation"": ""held_by""
    }
  ]
}
```",
1023_c2_9944.png,1023,2,9944,"```json
{
  ""nodes"": [
    {
      ""id"": ""person"",
    },
    {
      ""id"": ""hair"",
      ""attributes"": [""short"", ""black""]
    },
    {
      ""id"": ""shirt"",
      ""attributes"": [""dark"", ""short-sleeve""]
    },
    {
      ""id"": ""shorts"",
      ""attributes"": [""khaki"", ""cotton""]
    },
    {
      ""id"": ""backpack"",
      ""attributes"": [""black""]
    },
    {
      ""id"": ""shoes"",
      ""attributes"": [""white"", ""sneakers""]
    }
  ],
  ""edges"": [
    {
      ""source"": ""person"",
      ""target"": ""hair"",
      ""relation"": ""has""
    },
    {
      ""source"": ""person""
      ""target"": ""shirt""
      ""relation"": ""wearing""
    },
    {
      ""source"": ""person""
      ""target"": ""shorts""
      ""relation"": ""wearing""
    },
    {
      ""source"": ""person""
      ""target"": ""backpack""
      ""relation"": ""carrying""
    },
    {
      ""source"": ""person""
      ""target"": ""shoes""
      ""relation"": ""wearing""
    }
  ]
}
```",
0463_c1_4507.png,463,1,4507,"{
  ""nodes"": [
    {
      ""id"": ""person"",
    },
    {
      ""id"": ""hair"",
    },
    {
      ""id"": ""shorts""
    },
    {
      ""id"": ""long_boot"",
    },
    {
      ""id"": ""backpack""
    },
    {
      ""id"": ""fence""
    }
  ],
  ""edges"": [
    {
      ""source"": ""person"",
      ""target"": ""hair""
      ""relation"": ""has""
    },
    {
      ""source"": ""person""
      ""target"": ""shorts""
      ""relation"": ""wearing""
    },
    {
      ""source"": ""person""
      ""target"": ""long_boot""
      ""relation"": ""wearing""
    },
    {
      ""source"": ""person""
      ""target"": ""backpack""
      ""relation"": ""carrying""
    },
    {
      ""source"": ""fence""
      ""target"": ""person""
      ""relation"": ""near""
    }
  ]
}

Nodes:
- ""person"": Represents the main subject.
- ""hair"": Associated with the person's hair attributes.
- ""shorts"": Denotes the clothing worn by the person.
- ""long_boot"": Represents the footwear of the person.
- ""backpack"": Specifies the bag the person is carrying.
- ""fence"": Represents the background object.

Edges:
- ""person"" has ""hair""
- ""person"" is ""wearing"" ""shorts""
- ""person"" is ""wearing"" ""long_boot""
- ""person"" is ""carrying"" ""backpack""
- ""fence"" is ""near"" ""person""

This structure captures unique attributes and spatial relationships to support re-identification.",
0300_c1_2905.png,300,1,2905,"{
  ""nodes"": [
    {
      ""id"": ""person"",
    },
    {
      ""id"": ""hair"",
      ""attributes"": [""short"", ""dark""]
    },
    {
      ""id"": ""shirt""
    },
    {
      ""id"": ""backpack""
    },
    {
      ""id"": ""shorts""
    },
    {
      ""id"": ""shoes""
      ""attributes"": [""white"", ""laced""]
    }
  ],
  ""edges"": [
    {
      ""source"": ""person"",
      ""target"": ""hair""
      ""relation"": ""has""
    },
    {
      ""source"": ""person""
      ""target"": ""shirt""
      ""relation"": ""is wearing""
    },
    {
      ""source"": ""person""
      ""target"": ""backpack""
      ""relation"": ""iscarrying""
    },
    {
      ""source"": ""person""
      ""target"": ""shorts""
      ""relation"": ""is wearing""
    },
    {
      ""source"": ""person""
      ""target"": ""shoes""
      ""relation"": ""is wearing""
    }
  ]
}",
1078_c2_10488.png,1078,2,10488,"```json
{
  ""nodes"": [
    {
      ""id"": ""person"",
    },
    {
      ""id"": ""shirt"",
      ""attributes"": [""short sleeve"", ""gray"", ""cotton""]
    },
    {
      ""id"": ""pants"",
      ""attributes"": [""dark"", ""leather"", ""tights"", ""tight fitting""]
    },
    {
      ""id"": ""sneakers"",
      ""attributes"": [""white"", ""black sole""]
    },
    {
      ""id"": ""hair"",
      ""attributes"": [""long"", ""black"", ""straight""]
    },
    {
      ""id"": ""crossbody_bag"",
      ""attributes"": [""brown""]
    },
    {
      ""id"": ""background"",
      ""attributes"": [""indoor"", ""corridor""]
    }
  ],
  ""edges"": [
    {
      ""source"": ""person"",
      ""target"": ""shirt"",
      ""relation"": ""wearing""
    },
    {
      ""source"": ""person""
      ""target"": ""pants""
      ""relation"": ""wearing""
    },
    {
      ""source"": ""person""
      ""target"": ""sneakers""
      ""relation"": ""wearing""
    },
    {
      ""source"": ""person""
      ""target"": ""hair""
      ""relation"": ""has""
    },
    {
      ""source"": ""person""
      ""target"": ""crossbody_bag""
      ""relation"": ""carrying""
    },
    {
      ""source"": ""person""
      ""target"": ""background""
      ""relation"": ""standing on""
    }
  ]
}
```",
0570_c1_5552.png,570,1,5552,"```json
{
  ""nodes"": [
    {
      ""id"": ""person"",
    },
    {
      ""id"": ""hair"",
    },
    {
      ""id"": ""shirt"",
      ""attributes"": [""striped"", ""white""]
    },
    {
      ""id"": ""hat""
    },
    {
      ""id"": ""water_bottle"",
      ""attributes"": [""plastic""]
    },
    {
      ""id"": ""dress""
      ""attributes"": [""pink""]
    }
  ],
  ""edges"": [
    {
      ""source"": ""person"",
      ""target"": ""hair"",
      ""relation"": ""has""
    },
    {
      ""source"": ""person"",
      ""target"": ""shirt"",
      ""relation"": ""wearing""
    },
    {
      ""source"": ""person""
      ""target"": ""hat"",
      ""relation"": ""wearing""
    },
    {
      ""source"": ""person""
      ""target"": ""water_bottle"",
      ""relation"": ""holding""
    },
    {
      ""source"": ""person""
      ""target"": ""dress""
      ""relation"": ""wearing""
    },
    {
      ""source"": ""shirt""
      ""target"": ""person""
      ""relation"": ""on""
    },
    {
      ""source"": ""hat""
      ""target"": ""person""
      ""relation"": ""on""
    },
    {
      ""source"": ""water_bottle""
      ""target"": ""person""
      ""relation"": ""held by""
    },
    {
      ""source"": ""dress""
      ""target"": ""person""
      ""relation"": ""on""
    }
  ]
}
```",
