filename,ID,camera ID,sequence number,frame number,graph,fixed_graph
1273_c5s3_026340_00.jpg,1273,5,2,0,"{
  ""nodes"": [
    {
      ""id"": ""person"",
      ""attributes"": [
        ""woman"",
        ""slightly overweight"",
        ""medium build""
      ]
    },
    {
      ""id"": ""hair"",
      ""attributes"": [
        ""short"",
      ]
    },
    {
      ""id"": ""shirt"",
      ""attributes"": [
        ""short sleeve"",
        ""t-shirt"",
        ""white""
      ]
    },
    {
      ""id"": ""shorts"",
      ""attributes"": [
        ""capri length"",
      ]
    },
    {
      ""id"": ""scene"",
      ""attributes"": [
        ""outdoor""
      ]
    }
  ],
  ""edges"": [
    {
      ""source"": ""person"",
      ""target"": ""hair""
    },
    {
      ""source"": ""person""
      ""target"": ""shirt""
    },
    {
      ""source"": ""person""
      ""target"": ""shorts""
    },
    {
      ""source"": ""shirt""
      ""target"": ""person"",
      ""relation"": ""covering""
    },
    {
      ""source"": ""shorts""
      ""target"": ""person""
      ""relation"": ""covering""
    }
  ]
}",
1255_c1s5_048716_00.jpg,1255,1,4,0,"{
  ""nodes"": [
    {
      ""id"": ""person"",
      ""attributes"": [
        ""unknown gender"",
        ""bald""
      ]
    },
    {
      ""id"": ""shirt"",
      ""attributes"": [
        ""white"",
      ]
    },
    {
      ""id"": ""hair"",
      ""attributes"": [
        ""unknown color"",
        ""unknown length""
      ]
    },
    {
      ""id"": ""shorts"",
      ""attributes"": [
        ""dark""
      ]
    }
  ],
  ""edges"": [
    {
      ""source"": ""person"",
      ""target"": ""shirt"",
      ""relation"": ""wearing""
    },
    {
      ""source"": ""person"",
      ""target"": ""hair"",
      ""relation"": ""has""
    },
    {
      ""source"": ""person"",
      ""target"": ""shorts"",
      ""relation"": ""wearing""
    }
  ]
}",
1074_c4s5_006779_00.jpg,1074,4,0,0,"```json
{
  ""nodes"": [
    {
      ""id"": ""person"",
      ""attributes"": [""female"", ""adult""],
      ""edges"": [
        { ""source"": ""id_2"", ""target"": ""person"", ""relation"": ""wearing"" }
      ]
    },
    {
      ""id"": ""hat"",
      ""attributes"": [""white"", ""baseball cap""],
      ""edges"": [
        { ""source"": ""person"", ""target"": ""hat"", ""relation"": ""wearing"" }
      ]
    },
    {
      ""id"": ""dress"",
      ""attributes"": [""white"", ""short sleeves"", ""knee-length""],
      ""edges"": [
        { ""source"": ""person"", ""target"": ""dress"", ""relation"": ""wearing"" }
      ]
    },
    {
      ""id"": ""shoes"",
      ""attributes"": [""white"", ""flat""],
      ""edges"": [
        { ""source"": ""person"", ""target"": ""shoes"", ""relation"": ""wearing"" }
      ]
    },
    {
      ""id"": ""hair"",
      ""attributes"": [""indistinct""],
      ""edges"": [
        { ""source"": ""person"", ""target"": ""hair"", ""relation"": ""covered_by"" }
      ]
    }
  ],
  ""edges"": []
}
```",
1063_c1s5_006736_00.jpg,1063,1,0,0,"{
  ""nodes"": [
    {
      ""id"": ""person"",
      ""attributes"": [
        ""female"",
        ""curly hair"",
        ""dark hair"",
        ""medium build"",
        ""v-neck shirt"",
        ""dark capri pants"",
        ""dark shoes"",
        ""carrying backpack""
      ]
    },
    {
      ""id"": ""hair"",
      ""attributes"": [
        ""dark"",
      ]
    },
    {
      ""id"": ""v-neck shirt"",
      ""attributes"": [
        ""sleeveless"",
      ]
    },
    {
      ""id"": ""dark capri pants"",
      ""attributes"": [
        ""dark"",
      ]
    },
    {
      ""id"": ""dark shoes"",
      ""attributes"": [
        ""dark""
      ]
    },
    {
      ""id"": ""backpack"",
      ""attributes"": [
        ""teal green""
      ]
    }
  ],
  ""edges"": [
    {
      ""source"": ""person"",
      ""target"": ""hair"",
      ""relation"": ""has""
    },
    {
      ""source"": ""person"",
      ""target"": ""v-neck shirt"",
      ""relation"": ""wearing""
    },
    {
      ""source"": ""person"",
      ""target"": ""dark capri pants"",
      ""relation"": ""wearing""
    },
    {
      ""source"": ""person"",
      ""target"": ""dark shoes"",
      ""relation"": ""wearing""
    },
    {
      ""source"": ""person"",
      ""target"": ""backpack"",
      ""relation"": ""carrying""
    }
  ]
}",
0406_c1s2_023841_00.jpg,406,1,2,0,"{
  ""nodes"": [
    {
      ""id"": ""person"",
      ""attributes"": [
        ""male"",
        ""skin tone light"",
        ""overweight""
      ]
    },
    {
      ""id"": ""hair"",
      ""attributes"": [
        ""dark"",
      ]
    },
    {
      ""id"": ""shirt"",
      ""attributes"": [
        ""gray"",
      ]
    },
    {
      ""id"": ""shorts"",
      ""attributes"": [
        ""dark"",
      ]
    }
  ],
  ""edges"": [
    {
      ""source"": ""person"",
      ""target"": ""hair""
      ""relation"": ""has""
    },
    {
      ""source"": ""person""
      ""target"": ""shirt""
      ""relation"": ""wearing""
    },
    {
      ""source"": ""person""
      ""target"": ""shorts""
      ""relation"": ""wearing""
    }
  ]
}",
0740_c1s4_006281_00.jpg,740,1,0,0,"{
  ""nodes"": [
    {
      ""id"": ""person"",
      ""attributes"": [
        ""adult"",
        ""male""
      ]
    },
    {
      ""id"": ""hair"",
      ""attributes"": [
        ""short"",
      ]
    },
    {
      ""id"": ""shirt"",
      ""attributes"": [
        ""short sleeves"",
        ""red"",
      ]
    },
    {
      ""id"": ""pants"",
      ""attributes"": [
        ""dark"",
        ""full-length""
      ]
    }
  ],
  ""edges"": [
    {
      ""source"": ""hair"",
      ""target"": ""person"",
      ""relation"": ""on""
    },
    {
      ""source"": ""shirt"",
      ""target"": ""person"",
      ""relation"": ""wearing""
    },
    {
      ""source"": ""pants"",
      ""target"": ""person"",
      ""relation"": ""wearing""
    }
  ]
}",
0909_c5s2_113377_00.jpg,909,5,1,0,"{
  ""nodes"": [
    {
      ""id"": ""person"",
      ""attributes"": [
        ""male"",
        ""adult"",
        ""tall""
      ],
      ""edges"": [
        {
          ""source"": ""person"",
        }
      ]
    },
    {
      ""id"": ""hair"",
      ""attributes"": [
        ""blonde"",
        ""short""
      ],
      ""edges"": [
        {
          ""source"": ""hair"",
          ""target"": ""person"",
          ""relation"": ""on top of head""
        }
      ]
    },
    {
      ""id"": ""shirt"",
      ""attributes"": [
        ""red"",
      ],
      ""edges"": [
        {
          ""source"": ""shirt"",
          ""target"": ""person"",
          ""relation"": ""wearing""
        }
      ]
    },
    {
      ""id"": ""shorts"",
      ""attributes"": [
        ""dark red"",
      ],
      ""edges"": [
        {
          ""source"": ""shorts"",
          ""target"": ""person"",
          ""relation"": ""wearing""
        }
      ]
    },
    {
      ""id"": ""shoes"",
      ""attributes"": [
        ""dark""
      ],
      ""edges"": [
        {
          ""source"": ""shoes"",
          ""target"": ""person""
        }
      ]
    },
    {
      ""id"": ""bicycle"",
      ""attributes"": [
        ""black""
      ],
      ""edges"": [
        {
          ""source"": ""bicycle"",
          ""target"": ""person"",
          ""relation"": ""behind person""
        }
      ]
    }
  ],
  ""edges"": [
    {
      ""source"": ""shirt"",
      ""target"": ""person"",
      ""relation"": ""worn by""
    },
    {
      ""source"": ""shorts"",
      ""target"": ""person"",
      ""relation"": ""worn by""
    },
    {
      ""source"": ""shoes"",
      ""target"": ""person""
    },
    {
      ""source"": ""hair"",
      ""target"": ""person""
    },
    {
      ""source"": ""bicycle"",
      ""target"": ""person"",
      ""relation"": ""behind person""
    }
  ]
}",
0253_c4s1_052726_00.jpg,253,4,5,0,"{
  ""nodes"": [
    {
      ""id"": ""person"",
      ""attributes"": [
        ""female""
      ],
      ""edges"": [
        {
          ""source"": ""person"",
          ""target"": ""shirt"",
          ""relation"": ""wearing""
        },
        {
          ""source"": ""person"",
          ""target"": ""pants"",
          ""relation"": ""wearing""
        },
        {
          ""source"": ""person"",
          ""target"": ""bag"",
          ""relation"": ""carrying""
        },
        {
          ""source"": ""person"",
          ""target"": ""hair"",
          ""relation"": ""having""
        }
      ]
    },
    {
      ""id"": ""hair"",
      ""attributes"": [
        ""dark"",
        ""short"",
        ""wavy""
      ]
    },
    {
      ""id"": ""shirt"",
      ""attributes"": [
        ""black"",
        ""long-sleeve"",
        ""printed""
      ]
    },
    {
      ""id"": ""pants"",
      ""attributes"": [
        ""dark"",
        ""long""
      ]
    },
    {
      ""id"": ""bag"",
      ""attributes"": [
        ""red"",
      ]
    }
  ],
  ""edges"": []
}",
0120_c3s1_020126_00.jpg,120,3,2,0,"```json
{
  ""nodes"": [
    {
      ""id"": ""person"",
      ""attributes"": [""adult"", ""standing"", ""facing forward""]
    },
    {
      ""id"": ""shirt"",
      ""attributes"": [""pink"", ""short sleeve"", ""cotton""]
    },
    {
      ""id"": ""shorts"",
      ""attributes"": [""black"", ""mid-thigh"", ""elastic waist""]
    },
    {
      ""id"": ""sandals"",
      ""attributes"": [""flat"", ""slip-on""]
    },
    {
      ""id"": ""bag"",
      ""attributes"": [""plastic"", ""white"", ""rectangular""]
    },
    {
      ""id"": ""hair"",
      ""attributes"": [""dark"", ""short""]
    },
    {
      ""id"": ""accessory"",
      ""attributes"": [""none""]
    }
  ],
  ""edges"": [
    { ""source"": ""person"", ""target"": ""shirt"", ""relation"": ""wearing"" },
    { ""source"": ""person"", ""target"": ""shorts"", ""relation"": ""wearing"" },
    { ""source"": ""person"", ""target"": ""sandal"", ""relation"": ""wearing"" },
    { ""source"": ""person"", ""target"": ""bag"", ""relation"": ""carrying"" },
    { ""source"": ""hair"", ""target"": ""person"", ""relation"": ""on head"" },
    { ""source"": ""person"", ""target"": ""accessory"", ""relation"": ""not wearing"" }
  ]
}
```",
0198_c3s1_039426_00.jpg,198,3,3,0,"```json
{
  ""nodes"": [
    {
      ""id"": ""person"",
      ""attributes"": [""male"", ""standing"", ""holding ear""]
    },
    {
      ""id"": ""shirt"",
      ""attributes"": [""red"", ""short sleeve""]
    },
    {
      ""id"": ""shorts"",
      ""attributes"": [""black"", ""knee-length""]
    },
    {
      ""id"": ""backpack"",
      ""attributes"": [""black""]
    },
    {
      ""id"": ""left"",
    },
    {
      ""id"": ""hair"",
      ""attributes"": [""dark"", ""short""]
    }
  ],
  ""edges"": [
    {
      ""source"": ""person"",
      ""target"": ""shirt"",
      ""relation"": ""wearing""
    },
    {
      ""source"": ""person"",
      ""target"": ""shorts"",
      ""relation"": ""wearing""
    },
    {
      ""source"": ""person"",
      ""target"": ""backpack"",
      ""relation"": ""carrying""
    },
    {
      ""source"": ""person"",
      ""target"": ""hair"",
      ""relation"": ""has""
    }
  ]
}
```",
1044_c6s4_029727_00.jpg,1044,6,2,0,"```json
{
  ""nodes"": [
    {
      ""id"": ""person"",
      ""attributes"": [""female"", ""curved spine"", ""short leg hair""]
    },
    {
      ""id"": ""shirt"",
      ""attributes"": [""black"", ""torn""]
    },
    {
      ""id"": ""shorts"",
      ""attributes"": [""dark"", ""short length""]
    },
    {
      ""id"": ""hair"",
      ""attributes"": [""light"", ""short""]
    }
  ],
  ""edges"": [
    {
      ""source"": ""person"",
      ""target"": ""shirt"",
      ""relation"": ""wearing""
    },
    {
      ""source"": ""person"",
      ""target"": ""shorts"",
      ""relation"": ""wearing""
    },
    {
      ""source"": ""hair"",
      ""target"": ""person"",
      ""relation"": ""on head""
    }
  ]
}
```",
